k,head,program,strategy,increase,kl_div,spike
1,"(6, 10)",L6H10,smart,-0.0570014898266936,0.001999605260789394,False
2,"(5, 9)",L5H9,smart,0.2963000488228602,0.00668242909014225,False
3,"(11, 5)",L11H5,smart,0.07906324841671734,0.008750836458057165,False
4,"(6, 6)",L10H2,smart,-0.042259700862043295,0.010770838893949985,False
5,"(3, 0)",L9H9,smart,0.5083773189587104,0.018071851506829262,False
6,"(10, 10)",L9H6,smart,1.0785846697797135,0.02098020985722542,False
7,"(2, 5)",L2H5,smart,0.7463044610665515,0.018376294523477554,False
8,"(10, 0)",L10H0,smart,0.660705290538147,0.019696882739663125,False
9,"(9, 9)",L8H1,smart,0.7301179921355192,0.021937031671404837,False
10,"(7, 9)",L7H9,smart,0.7114871015161982,0.02307759691029787,False
11,"(2, 1)",L9H2,smart,0.8439791084050071,0.01983380690217018,False
12,"(7, 5)",L7H5,smart,1.2175596509185038,0.01819715239107609,False
13,"(9, 6)",L9H6,smart,1.4458086816686258,0.018869227916002273,False
14,"(1, 1)",L1H1,smart,1.5544726535721072,0.01927680876106024,False
15,"(3, 10)",L1H3,smart,1.8691627400438133,0.021749842166900634,False
16,"(10, 2)",L10H2,smart,2.0097287693093184,0.02444365732371807,False
17,"(3, 1)",L3H1,smart,2.4448547309783657,0.024524541199207307,False
18,"(10, 1)",L10H1,smart,3.1801897924097,0.024653249606490134,False
19,"(6, 2)",L11H1,smart,3.059945898771124,0.027022476121783257,False
20,"(5, 6)",L5H6,smart,3.674714340211054,0.03285253308713436,False
21,"(2, 10)",L11H3,smart,3.7345645945598966,0.03289725743234158,False
22,"(6, 4)",L6H4,smart,3.8171982201947907,0.0378298319876194,False
23,"(5, 5)",L5H5,smart,3.577371622350575,0.04752521999180317,False
24,"(4, 10)",L4H10,smart,4.223469761021697,0.06625301763415337,False
25,"(6, 9)",L6H9,smart,4.4940662062853765,0.07333820536732674,False
26,"(9, 5)",L5H9,smart,4.709483512366891,0.0692460559308529,False
27,"(9, 2)",L9H2,smart,4.763100758353434,0.07111495360732079,False
28,"(7, 7)",L7H7,smart,4.831349990962085,0.0770785503089428,False
29,"(11, 1)",L11H1,smart,4.404656891244287,0.07617457583546638,False
30,"(5, 1)",L6H9,smart,5.201204189724534,0.07900614067912101,False
31,"(7, 6)",L7H1,smart,5.903814846089448,0.08077353611588478,False
32,"(6, 1)",L6H1,smart,7.006210855603781,0.08029443323612213,False
33,"(9, 4)",L9H4,smart,6.708129891213642,0.07938258573412896,False
34,"(0, 11)",L2H5,smart,5.605081720379981,0.07522628828883171,False
35,"(7, 3)",L7H3,smart,5.444710193951138,0.08316244781017304,False
36,"(10, 7)",L10H7,smart,5.65757961210897,0.08870577961206436,False
37,"(6, 8)",L6H8,smart,5.938262578594786,0.09743535667657852,False
38,"(1, 8)",L6H2,smart,5.797454581807794,0.09376377910375595,False
39,"(10, 6)",L10H10,smart,6.033955819807468,0.09407346919178963,False
40,"(9, 11)",L9H11,smart,6.208666172664478,0.09643959105014802,False
41,"(6, 5)",L6H5,smart,5.876763270456021,0.09625647664070129,False
42,"(7, 1)",L7H1,smart,6.549141234344896,0.10368540287017822,False
43,"(8, 1)",L8H1,smart,8.048884162567251,0.1050698146224022,False
44,"(9, 1)",L9H1,smart,9.111924895905862,0.10749774873256683,False
45,"(5, 11)",L5H11,smart,9.930661315017318,0.11221321374177932,False
46,"(1, 4)",L6H2,smart,10.828489908174067,0.11213553696870804,False
47,"(0, 1)",L0H1,smart,10.835023867810163,0.11219319999217987,False
48,"(2, 6)",L2H6,smart,10.508577159643602,0.10731435120105744,False
49,"(7, 2)",L7H2,smart,11.230961707752053,0.11395650953054429,False
50,"(3, 4)",L3H4,smart,11.60313798351562,0.12005777359008789,False
51,"(4, 4)",L4H4,smart,12.362563567004475,0.1259790241718292,False
52,"(4, 8)",L4H8,smart,13.52287774325147,0.12770429402589797,False
53,"(1, 3)",L1H3,smart,13.373560491958898,0.12813400030136107,False
54,"(0, 10)",L0H10,smart,13.676701739782374,0.13214829564094543,False
55,"(3, 5)",L3H5,smart,14.315082902867118,0.13919394016265868,False
56,"(11, 4)",L11H4,smart,13.931721092493799,0.13829841017723082,False
57,"(0, 7)",L0H7,smart,13.933989814221565,0.13720236718654633,False
58,"(7, 10)",L7H10,smart,15.400446844488163,0.1361680209636688,False
59,"(5, 10)",L5H10,smart,16.491157406293134,0.15293983072042466,False
60,"(8, 3)",L8H3,smart,16.22167698748017,0.15006161630153655,False
61,"(11, 7)",L11H7,smart,16.563852502170082,0.1766546756029129,False
62,"(1, 7)",L6H2,smart,16.21632972185327,0.1750241130590439,False
63,"(10, 8)",L10H8,smart,16.157306652136228,0.173723903298378,False
64,"(8, 11)",L8H11,smart,16.392839217360052,0.16265733540058136,False
65,"(5, 0)",L5H0,smart,17.616403021728786,0.16577697098255156,False
66,"(2, 7)",L11H3,smart,17.93716474371778,0.16491326689720154,False
67,"(11, 10)",L11H10,smart,18.419914895270946,0.16768299043178558,False
68,"(2, 11)",L4H8,smart,18.02099567397037,0.16967027485370637,False
