k,head,program,strategy,increase,kl_div,spike
1,"(11, 4)",L11H4,smart,-0.45381498950065213,0.0006144040264189244,False
2,"(8, 11)",L8H11,smart,-0.34711219984998337,0.0020997033687308432,False
3,"(9, 5)",L5H9,smart,-0.34020553512302837,0.0035889382008463143,False
4,"(10, 1)",L10H1,smart,0.29450659366056336,0.005062703555449843,False
5,"(9, 4)",L9H4,smart,-0.15210379872240573,0.006787838879972696,False
6,"(3, 0)",L9H9,smart,0.37151892932022823,0.006611817609518766,False
7,"(4, 8)",L4H8,smart,1.286824972330172,0.006919704936444759,False
8,"(9, 11)",L9H11,smart,1.4114543736433254,0.009221638552844524,False
9,"(2, 7)",L11H3,smart,1.343207539533131,0.00845998739823699,False
10,"(6, 8)",L6H8,smart,1.437530407939907,0.009771826677024364,False
11,"(0, 1)",L0H1,smart,1.4455786746651007,0.009783216379582882,False
12,"(7, 2)",L7H2,smart,1.8481484561398944,0.010748143587261439,False
13,"(2, 10)",L11H3,smart,1.865359659667772,0.011073901783674955,False
14,"(7, 10)",L7H10,smart,2.6217845967340834,0.0130749037489295,False
15,"(5, 11)",L5H11,smart,3.2723478496076575,0.013414067588746548,False
16,"(2, 6)",L2H6,smart,3.195187268985886,0.013968425057828426,False
17,"(1, 1)",L1H1,smart,3.283218751532458,0.01443916829302907,False
18,"(5, 0)",L5H0,smart,3.937456917037469,0.014879640750586986,False
19,"(11, 7)",L11H7,smart,3.426842087756485,0.017709003947675227,False
20,"(9, 2)",L9H2,smart,3.277627796032288,0.01835451889783144,False
21,"(11, 1)",L11H1,smart,3.0685788146626423,0.02300876621156931,False
22,"(5, 5)",L5H5,smart,3.165778464040968,0.025270779430866242,False
23,"(9, 6)",L9H6,smart,3.477612526829146,0.02380254790186882,False
24,"(9, 9)",L8H1,smart,3.4674557374743626,0.025676415860652925,False
25,"(6, 4)",L6H4,smart,3.4794836543002683,0.02663581259548664,False
26,"(3, 10)",L1H3,smart,3.9395314381230095,0.029238712042570114,False
27,"(1, 4)",L6H2,smart,4.6344204173862975,0.028662937134504317,False
28,"(1, 7)",L6H2,smart,4.385071013308307,0.028500036895275117,False
29,"(0, 10)",L0H10,smart,4.517826518767319,0.029065202735364438,False
30,"(0, 11)",L2H5,smart,3.7798365661070745,0.03097391165792942,False
31,"(10, 6)",L10H10,smart,4.000938009252655,0.03405494466423988,False
32,"(10, 7)",L10H7,smart,4.407098604631709,0.03564427345991135,False
33,"(6, 6)",L10H2,smart,4.515367088447557,0.038089895993471144,False
34,"(5, 10)",L5H10,smart,5.273211190288969,0.04070618748664856,False
35,"(7, 3)",L7H3,smart,5.179024613788661,0.04449420347809792,False
36,"(5, 9)",L5H9,smart,5.744961524799118,0.05196870639920235,False
37,"(10, 2)",L10H2,smart,6.1587475236788105,0.053432438522577286,False
38,"(3, 5)",L3H5,smart,6.836541700330136,0.057497032731771466,False
39,"(2, 1)",L9H2,smart,7.073781192418868,0.05573163777589798,False
40,"(6, 10)",L6H10,smart,7.133049351314435,0.06693953946232796,False
41,"(5, 6)",L5H6,smart,7.9194779160651265,0.07869359403848648,False
42,"(6, 5)",L6H5,smart,7.7516209535514715,0.08093503341078759,False
43,"(10, 0)",L10H0,smart,7.84096622976549,0.08408322781324387,False
44,"(5, 1)",L6H9,smart,8.198640478309448,0.0849267601966858,False
45,"(0, 7)",L0H7,smart,8.059980248968554,0.08602179437875748,False
46,"(11, 10)",L11H10,smart,8.473758554470502,0.08603298664093018,False
47,"(1, 3)",L1H3,smart,8.364118777837767,0.08639620691537857,False
48,"(2, 11)",L4H8,smart,7.741660348858612,0.08163085579872131,False
49,"(3, 4)",L3H4,smart,8.091031645269101,0.0852986603975296,False
50,"(7, 5)",L7H5,smart,8.68657838723675,0.07981243133544921,False
51,"(6, 9)",L6H9,smart,8.848452881885276,0.0858520045876503,False
52,"(2, 5)",L2H5,smart,8.726725979310817,0.0883513182401657,False
53,"(11, 5)",L11H5,smart,9.309836679523595,0.10108968168497086,False
54,"(4, 10)",L4H10,smart,10.482778152274301,0.12173889279365539,False
55,"(4, 4)",L4H4,smart,11.235390251921318,0.12532724887132646,False
56,"(7, 7)",L7H7,smart,11.502928364126294,0.1320856675505638,False
57,"(9, 1)",L9H1,smart,12.356239178012107,0.13186898231506347,False
58,"(6, 2)",L11H1,smart,11.842368964266512,0.1394900396466255,False
59,"(7, 6)",L7H1,smart,12.734859588822331,0.14434743225574492,False
60,"(7, 1)",L7H1,smart,13.471138238676497,0.14981553256511687,False
61,"(8, 1)",L8H1,smart,15.082779010865341,0.15339605808258056,False
62,"(1, 8)",L6H2,smart,15.135254652293295,0.15192452371120452,False
63,"(3, 1)",L3H1,smart,16.021745135113477,0.1583535373210907,False
64,"(6, 1)",L6H1,smart,16.991235608459668,0.1650892198085785,False
65,"(8, 3)",L8H3,smart,16.61087092172128,0.16318071037530898,False
66,"(10, 8)",L10H8,smart,16.604179911931535,0.16062660962343217,False
67,"(10, 10)",L9H6,smart,17.211539633855203,0.1661359190940857,False
68,"(7, 9)",L7H9,smart,18.01755268722436,0.1696559190750122,False
