k,head,program,strategy,increase,kl_div
1,"(4, 8)",L4H8,smart,0.8868112614147694,0.0007988687488250434
2,"(9, 6)",L9H6,smart,1.1338876674033325,0.001755142316687852
3,"(5, 6)",L5H6,smart,1.5722865810773807,0.004184361407533288
4,"(9, 2)",L9H2,smart,1.5135806367629703,0.004701010370627046
5,"(9, 9)",L8H1,smart,1.4790959584125933,0.006464845687150955
6,"(10, 8)",L10H8,smart,1.3863139411949827,0.008152646012604237
7,"(0, 10)",L0H10,smart,1.4007762202944616,0.006892403494566679
8,"(7, 5)",L7H5,smart,1.743844094298136,0.0077609273605048655
9,"(7, 7)",L7H7,smart,2.0879297944546487,0.009429099876433611
10,"(9, 4)",L9H4,smart,1.5945587925543445,0.010416376683861018
11,"(7, 2)",L7H2,smart,2.034144613532488,0.013772112131118775
12,"(8, 11)",L8H11,smart,2.1255325291410854,0.015065702609717846
13,"(9, 5)",L5H9,smart,2.2134488600387288,0.017125560902059078
14,"(7, 6)",L7H1,smart,2.694245464652039,0.021220569871366023
15,"(9, 11)",L9H11,smart,2.7172626184832653,0.021064097993075848
16,"(0, 1)",L0H1,smart,2.726982508746568,0.021058160811662674
17,"(6, 5)",L6H5,smart,2.3962560811336298,0.02113032080233097
18,"(2, 6)",L2H6,smart,2.1416183571565894,0.024793335795402528
19,"(6, 9)",L6H9,smart,2.170595063038734,0.026291869580745697
20,"(8, 3)",L8H3,smart,1.765654976814767,0.027576616033911705
21,"(1, 1)",L1H1,smart,1.8908128828821962,0.02617735303938389
22,"(1, 4)",L6H2,smart,2.615914437116934,0.02745068371295929
23,"(7, 1)",L7H1,smart,3.117078604614508,0.028725268319249153
24,"(8, 1)",L8H1,smart,4.052776686289975,0.030956652760505677
25,"(9, 1)",L9H1,smart,5.048488198324091,0.03363165520131588
26,"(2, 11)",L4H8,smart,4.255308904385939,0.03584016337990761
27,"(1, 2)",L2H5,smart,131.21885041655204,0.18371974676847458
28,"(5, 9)",L5H9,smart,129.76243675537867,0.18801798522472382
29,"(4, 4)",L4H4,smart,130.31587035246864,0.1919034630060196
30,"(0, 7)",L0H7,smart,130.4016447174447,0.18170609176158906
31,"(3, 5)",L3H5,smart,132.23291232627645,0.18244775980710984
32,"(3, 1)",L3H1,smart,132.65504417281622,0.18103820979595184
33,"(5, 0)",L5H0,smart,133.1086153048632,0.1779252216219902
34,"(1, 7)",L6H2,smart,130.44910957242357,0.17035673707723617
35,"(7, 10)",L7H10,smart,131.58446356100714,0.17272662371397018
36,"(6, 4)",L6H4,smart,131.71291438924771,0.17480386793613434
37,"(3, 10)",L1H3,smart,132.63800724441265,0.1825335741043091
38,"(2, 10)",L11H3,smart,133.54571015822788,0.18434383273124694
39,"(3, 0)",L9H9,smart,134.7695195556359,0.20459961593151094
40,"(10, 2)",L10H2,smart,134.58945986184654,0.20596837401390075
41,"(6, 10)",L6H10,smart,135.03748425358398,0.23467420935630798
42,"(6, 6)",L10H2,smart,135.17267164880025,0.24708230197429656
43,"(5, 10)",L5H10,smart,137.12793164687463,0.25742226243019106
44,"(10, 1)",L10H1,smart,137.16187351762034,0.2593082696199417
45,"(7, 9)",L7H9,smart,138.0734943207768,0.26080678701400756
46,"(10, 10)",L9H6,smart,139.22447745180023,0.27541099190711976
47,"(6, 2)",L11H1,smart,138.48714555943982,0.288852596282959
48,"(2, 7)",L11H3,smart,138.60713479881693,0.2839873194694519
49,"(10, 7)",L10H7,smart,138.45470720388428,0.292783185839653
50,"(2, 1)",L9H2,smart,141.6706315899469,0.2968916594982147
51,"(6, 1)",L6H1,smart,141.14352625029534,0.2907791942358017
52,"(4, 10)",L4H10,smart,143.40949175125394,0.32006717324256895
53,"(10, 0)",L10H0,smart,144.32171393311336,0.3209626853466034
54,"(1, 3)",L1H3,smart,145.11033246850533,0.3193033516407013
55,"(5, 11)",L5H11,smart,145.09743716812264,0.325351944565773
56,"(0, 11)",L2H5,smart,143.4700228855076,0.3136279255151749
57,"(6, 8)",L6H8,smart,145.161533603354,0.3260052502155304
58,"(5, 5)",L5H5,smart,145.89596623154995,0.34281559884548185
59,"(5, 1)",L6H9,smart,145.94937255808807,0.3460341691970825
60,"(1, 8)",L6H2,smart,146.3793032445163,0.33396256268024443
61,"(3, 4)",L3H4,smart,146.87988804929597,0.3488581418991089
62,"(7, 3)",L7H3,smart,146.94956218304006,0.35998591482639314
63,"(2, 5)",L2H5,smart,148.70022911608035,0.36462974548339844
64,"(10, 6)",L10H10,smart,149.17147261167727,0.35497039258480073
