k,head,program,strategy,increase,kl_div,spike
1,"(9, 5)",L5H9,smart,0.012917931242917569,0.0010897913249209522,False
2,"(5, 5)",L5H5,smart,-0.1583059133696454,0.0024575065122917294,False
3,"(5, 11)",L5H11,smart,0.4618342698236856,0.004460235685110092,False
4,"(5, 0)",L5H0,smart,1.1583752230466886,0.005585919879376888,False
5,"(9, 11)",L9H11,smart,1.2776565114363307,0.006845292821526528,False
6,"(5, 9)",L5H9,smart,1.6876806714166268,0.01386882048100233,False
7,"(10, 0)",L10H0,smart,1.6463471706323805,0.017249362915754317,False
8,"(7, 2)",L7H2,smart,2.1243503164642585,0.016932069696485995,False
9,"(1, 8)",L6H2,smart,1.913390187550106,0.01543427137658,False
10,"(6, 1)",L6H1,smart,2.5259354231842877,0.01602035639807582,False
11,"(9, 9)",L8H1,smart,2.4843125989893484,0.018497495912015438,False
12,"(9, 6)",L9H6,smart,2.607953768978126,0.01768820211291313,False
13,"(5, 1)",L6H9,smart,3.2320295108520005,0.019391919672489166,False
14,"(6, 4)",L6H4,smart,3.446536503527118,0.022528612054884434,False
15,"(6, 6)",L10H2,smart,3.3134700882986365,0.025024646148085593,False
16,"(7, 7)",L7H7,smart,3.574268240837752,0.030264605581760407,False
17,"(10, 10)",L9H6,smart,4.174453321419895,0.03307746611535549,False
18,"(0, 10)",L0H10,smart,4.287987156207786,0.032940828055143354,False
19,"(1, 4)",L6H2,smart,5.068149933244678,0.03322976864874363,False
20,"(10, 2)",L10H2,smart,5.245985125966458,0.03760169297456741,False
21,"(6, 10)",L6H10,smart,5.195945538447582,0.04212450757622719,False
22,"(10, 6)",L10H10,smart,5.623553797085233,0.04723179079592228,False
23,"(5, 10)",L5H10,smart,6.29717751699185,0.05465449839830398,False
24,"(6, 8)",L6H8,smart,6.488749071213521,0.05846538245677948,False
25,"(1, 1)",L1H1,smart,6.620668487761421,0.06010117679834366,False
26,"(2, 10)",L11H3,smart,6.634332932010352,0.05962065383791924,False
27,"(8, 11)",L8H11,smart,6.779253195288969,0.052927640825510026,False
28,"(11, 1)",L11H1,smart,6.228329458065666,0.05330851301550865,False
29,"(11, 7)",L11H7,smart,5.926021366012122,0.0576897494494915,False
30,"(6, 5)",L6H5,smart,5.573757111565569,0.05870773419737816,False
31,"(7, 5)",L7H5,smart,6.111626067514164,0.05658689215779304,False
32,"(4, 8)",L4H8,smart,7.0834050929293095,0.05415683761239052,False
33,"(3, 10)",L1H3,smart,7.536847199741319,0.057247352600097653,False
34,"(3, 4)",L3H4,smart,7.840369542108148,0.06006713658571243,False
35,"(10, 8)",L10H8,smart,7.801824200351594,0.05945995226502419,False
36,"(7, 1)",L7H1,smart,8.361828195572407,0.06410256773233414,False
37,"(2, 11)",L4H8,smart,7.73597264734134,0.0641315683722496,False
38,"(11, 4)",L11H4,smart,7.385094058150372,0.06618862748146057,False
39,"(0, 11)",L2H5,smart,6.6570678159137815,0.06437022387981414,False
40,"(11, 5)",L11H5,smart,7.070353771965455,0.07606777027249337,False
41,"(3, 5)",L3H5,smart,7.853007180700257,0.07871711701154709,False
42,"(0, 1)",L0H1,smart,7.860740533696779,0.07862048372626304,False
43,"(9, 2)",L9H2,smart,7.607144694045684,0.07973332032561302,False
44,"(11, 10)",L11H10,smart,7.9729767381651175,0.08002647161483764,False
45,"(2, 5)",L2H5,smart,7.728709545894448,0.08186722621321678,False
46,"(2, 6)",L2H6,smart,7.6846663573729455,0.07961471974849701,False
47,"(3, 0)",L9H9,smart,8.680334918125617,0.08251248300075531,False
48,"(2, 7)",L11H3,smart,8.699407616153374,0.08193618059158325,False
49,"(6, 2)",L11H1,smart,8.281918074554962,0.09294915869832039,False
50,"(7, 3)",L7H3,smart,7.95570960486441,0.098647440969944,False
51,"(8, 3)",L8H3,smart,7.494041316494057,0.09946335181593895,False
52,"(8, 1)",L8H1,smart,8.762776639702972,0.10485627874732018,False
53,"(5, 6)",L5H6,smart,9.624098892376006,0.11206457763910294,False
54,"(10, 7)",L10H7,smart,10.14342633917901,0.1200781524181366,False
55,"(9, 1)",L9H1,smart,11.21398188035785,0.12332233190536498,False
56,"(1, 7)",L6H2,smart,10.981130521585149,0.12035413384437561,False
57,"(10, 1)",L10H1,smart,11.780274047609543,0.1229102574288845,False
58,"(7, 9)",L7H9,smart,11.951331346902942,0.12391276732087135,False
59,"(6, 9)",L6H9,smart,12.403456788569711,0.13013179898262023,False
60,"(3, 1)",L3H1,smart,12.913485232305401,0.13414338529109954,False
61,"(1, 3)",L1H3,smart,12.84335989146706,0.13555446416139602,False
62,"(7, 10)",L7H10,smart,14.105488976997517,0.13663355261087418,False
63,"(9, 4)",L9H4,smart,13.855842298288778,0.1337383583188057,False
64,"(7, 6)",L7H1,smart,14.788975941528395,0.13988111466169356,False
65,"(4, 4)",L4H4,smart,15.386166106779461,0.14440813958644866,False
66,"(0, 7)",L0H7,smart,15.265958226735993,0.14738643169403076,False
67,"(4, 10)",L4H10,smart,16.64346413675029,0.16300650537014008,False
68,"(2, 1)",L9H2,smart,18.066866357749987,0.16922451555728912,False
