k,head,program,strategy,increase,kl_div,spike
1,"(3, 10)",L1H3,smart,0.153485773068324,0.0005462608649395406,False
2,"(1, 1)",L1H1,smart,0.28334333114323795,0.0011265952605754137,False
3,"(3, 0)",L9H9,smart,0.8491157846906876,0.007572425832040608,False
4,"(9, 6)",L9H6,smart,1.0612847383457762,0.007398361060768366,False
5,"(9, 1)",L9H1,smart,1.7904754742782054,0.007942389557138085,False
6,"(2, 6)",L2H6,smart,1.642775990882588,0.0060088722966611385,False
7,"(7, 2)",L7H2,smart,2.033588772641308,0.0063738195225596424,False
8,"(2, 10)",L11H3,smart,1.9805275574361751,0.006907556764781475,False
9,"(5, 5)",L5H5,smart,1.8762743716387835,0.010624089278280735,False
10,"(6, 10)",L6H10,smart,1.7129293621683015,0.015764647256582977,False
11,"(11, 5)",L11H5,smart,1.5510244408221232,0.01759104635566473,False
12,"(7, 5)",L7H5,smart,1.9932958118247015,0.015521161444485187,False
13,"(10, 1)",L10H1,smart,2.638239012500282,0.015595057792961598,False
14,"(0, 11)",L2H5,smart,1.8518909738969676,0.014383088797330856,False
15,"(5, 0)",L5H0,smart,2.591801365316782,0.016418354585766792,False
16,"(5, 11)",L5H11,smart,3.335818830782647,0.019658425450325014,False
17,"(6, 8)",L6H8,smart,3.589859948264644,0.021280761808156967,False
18,"(9, 11)",L9H11,smart,3.7633908399100293,0.022852547653019428,False
19,"(11, 4)",L11H4,smart,3.327665436064623,0.023394886031746866,False
20,"(3, 4)",L3H4,smart,3.7383958454826143,0.02495306059718132,False
21,"(6, 4)",L6H4,smart,3.887129081337888,0.029671434313058853,False
22,"(7, 10)",L7H10,smart,4.931592154073567,0.03129932247102261,False
23,"(10, 2)",L10H2,smart,5.166143560233416,0.03342288993299007,False
24,"(2, 5)",L2H5,smart,4.938419040308487,0.032194046676158904,False
25,"(9, 2)",L9H2,smart,4.800540364623944,0.03399261943995953,False
26,"(5, 1)",L6H9,smart,5.385144214155784,0.032845160365104674,False
27,"(10, 0)",L10H0,smart,5.441995086122785,0.03636140525341034,False
28,"(6, 2)",L11H1,smart,5.293986266066339,0.03929392099380493,False
29,"(6, 1)",L6H1,smart,6.116296275859663,0.04264197610318661,False
30,"(10, 6)",L10H10,smart,6.5110889012630775,0.045729152858257294,False
31,"(11, 7)",L11H7,smart,6.192132045274483,0.05103888660669327,False
32,"(0, 7)",L0H7,smart,6.009154851688544,0.05178352296352386,False
33,"(3, 1)",L3H1,smart,6.43934059339517,0.05336601585149765,False
34,"(0, 1)",L0H1,smart,6.422596336757832,0.05353724919259548,False
35,"(8, 11)",L8H11,smart,6.569461495431836,0.05242971517145634,False
36,"(2, 7)",L11H3,smart,6.536372509872379,0.05200454741716385,False
37,"(4, 8)",L4H8,smart,7.428853840165743,0.04999952167272568,False
38,"(9, 9)",L8H1,smart,7.332396053867335,0.05236985832452774,False
39,"(5, 9)",L5H9,smart,7.809946818592874,0.05642976462841034,False
40,"(8, 1)",L8H1,smart,9.043886653486213,0.062163575738668445,False
41,"(7, 6)",L7H1,smart,9.641252905130981,0.06312918365001678,False
42,"(6, 9)",L6H9,smart,9.599329891414285,0.06505424603819847,False
43,"(6, 6)",L10H2,smart,9.769814773596162,0.06978108957409859,False
44,"(11, 1)",L11H1,smart,9.677815770111641,0.07848723605275154,False
45,"(6, 5)",L6H5,smart,9.52591480738803,0.08028437718749046,False
46,"(2, 1)",L9H2,smart,10.290672954632345,0.0817186176776886,False
47,"(7, 9)",L7H9,smart,10.572946082563629,0.08479314520955086,False
48,"(10, 10)",L9H6,smart,11.243514286509637,0.08844582810997963,False
49,"(2, 11)",L4H8,smart,10.76698041031969,0.08910432681441308,False
50,"(5, 6)",L5H6,smart,11.645379172959561,0.09480543732643128,False
51,"(4, 10)",L4H10,smart,12.712912064309327,0.1081967830657959,False
52,"(1, 3)",L1H3,smart,12.651964798771278,0.10842646062374114,False
53,"(1, 7)",L6H2,smart,12.458929654876759,0.10923705846071244,False
54,"(3, 5)",L3H5,smart,13.122085039985304,0.1152351289987564,False
55,"(9, 5)",L5H9,smart,13.48666001055037,0.11546426266431808,False
56,"(5, 10)",L5H10,smart,14.55784626594882,0.1259608417749405,False
57,"(11, 10)",L11H10,smart,15.08457754889029,0.1273570716381073,False
58,"(7, 3)",L7H3,smart,14.91380697830759,0.13523154854774475,False
59,"(4, 4)",L4H4,smart,15.733996616770199,0.1398512303829193,False
60,"(7, 1)",L7H1,smart,16.626398220632,0.15019889771938325,False
61,"(1, 8)",L6H2,smart,16.662163264739657,0.1482567846775055,False
62,"(8, 3)",L8H3,smart,16.320400499400538,0.14954765141010284,False
63,"(9, 4)",L9H4,smart,16.081804269855446,0.1467224806547165,False
64,"(0, 10)",L0H10,smart,16.442216155604093,0.15589311420917512,False
65,"(7, 7)",L7H7,smart,16.518824522541937,0.16057000756263734,False
66,"(10, 8)",L10H8,smart,16.542246606523626,0.15675944685935975,False
67,"(10, 7)",L10H7,smart,17.282019461090876,0.16429732143878936,False
68,"(1, 4)",L6H2,smart,17.99340779549978,0.16892549991607667,False
