k,head,program,strategy,increase,kl_div
1,"(10, 8)",L10H8,smart,-0.06544595553557338,0.0012038883636705578
2,"(9, 4)",L9H4,smart,-0.525958851535786,0.0026970758684910835
3,"(10, 1)",L10H1,smart,0.07387445759569364,0.004055355559103191
4,"(6, 9)",L6H9,smart,0.03371387281063136,0.006147386878728867
5,"(5, 1)",L6H9,smart,0.7142676391129344,0.008052674401551486
6,"(3, 0)",L9H9,smart,1.22501671216104,0.009186987485736608
7,"(9, 11)",L9H11,smart,1.3789450220200525,0.010809778515249491
8,"(9, 6)",L9H6,smart,1.5533265294324046,0.010910866595804692
9,"(7, 7)",L7H7,smart,1.7200881969758768,0.012568262778222561
10,"(10, 0)",L10H0,smart,1.6303864212250754,0.01576467715203762
11,"(2, 11)",L4H8,smart,0.9911633610785738,0.014752785302698612
12,"(6, 6)",L10H2,smart,1.094313729286183,0.01564082894474268
13,"(9, 9)",L8H1,smart,1.1669668420442778,0.018823492527008056
14,"(7, 2)",L7H2,smart,1.5125510092008871,0.020792914927005766
15,"(8, 1)",L8H1,smart,2.5063537421517337,0.022118739411234857
16,"(1, 7)",L6H2,smart,2.3826391329144263,0.023171772621572016
17,"(3, 10)",L1H3,smart,2.535379772700428,0.022369281761348246
18,"(8, 11)",L8H11,smart,2.780602494633415,0.02238193303346634
19,"(5, 9)",L5H9,smart,3.2146381202284986,0.024398238956928255
20,"(3, 5)",L3H5,smart,3.5383743012292377,0.025792841240763663
21,"(9, 1)",L9H1,smart,4.479298115272579,0.027745617926120757
22,"(9, 2)",L9H2,smart,4.338347532868989,0.028872684016823767
23,"(1, 4)",L6H2,smart,5.133446021935582,0.03012661412358284
24,"(0, 10)",L0H10,smart,5.186203133677518,0.033491982519626616
25,"(9, 5)",L5H9,smart,5.389339137260558,0.03433427959680557
26,"(10, 7)",L10H7,smart,5.729625295597371,0.03496892899274826
27,"(3, 1)",L3H1,smart,6.073764982677944,0.03757360503077507
28,"(4, 8)",L4H8,smart,6.978096009196415,0.03547304570674896
29,"(2, 10)",L11H3,smart,7.034714227397707,0.03610295951366425
30,"(8, 3)",L8H3,smart,6.580062805824784,0.038518113642930986
31,"(10, 2)",L10H2,smart,6.785092161262895,0.04107209369540214
32,"(6, 5)",L6H5,smart,6.3804736075071515,0.04050077423453331
33,"(7, 10)",L7H10,smart,7.267245401611686,0.04285271838307381
34,"(7, 6)",L7H1,smart,7.82634123947596,0.04339341744780541
35,"(1, 1)",L1H1,smart,7.852728377108616,0.042893213033676145
36,"(6, 10)",L6H10,smart,8.059841163521348,0.04893420934677124
37,"(0, 1)",L0H1,smart,8.064910242189855,0.04894250854849815
38,"(3, 4)",L3H4,smart,8.442458153275046,0.051751360297203064
39,"(1, 8)",L6H2,smart,8.338454850637511,0.04998200312256813
40,"(10, 10)",L9H6,smart,8.886707072150427,0.05599699765443802
41,"(10, 6)",L10H10,smart,9.42772218131854,0.06147465705871582
42,"(6, 1)",L6H1,smart,10.442683789711385,0.06335175037384033
43,"(7, 5)",L7H5,smart,10.994199156714838,0.06192934885621071
44,"(5, 11)",L5H11,smart,11.941637443008213,0.06371349021792412
45,"(5, 6)",L5H6,smart,12.60576042191678,0.06906165704131126
46,"(6, 8)",L6H8,smart,13.123771027366018,0.07323316484689713
47,"(4, 4)",L4H4,smart,13.68203969645506,0.07643085569143296
48,"(4, 10)",L4H10,smart,14.532717099814917,0.0912391111254692
49,"(1, 3)",L1H3,smart,14.601365837957195,0.09226119220256805
50,"(7, 1)",L7H1,smart,15.51673327560537,0.0996029555797577
51,"(7, 3)",L7H3,smart,15.26410046976255,0.10584696531295776
52,"(5, 0)",L5H0,smart,16.343389353125943,0.10747174322605133
53,"(6, 2)",L11H1,smart,16.03594784466906,0.11680375635623932
54,"(1, 2)",L2H5,smart,139.10239684305637,0.343830531835556
55,"(2, 1)",L9H2,smart,141.96109525538148,0.3464196503162384
56,"(2, 7)",L11H3,smart,142.39281510355096,0.34146100878715513
57,"(5, 5)",L5H5,smart,143.1414489427014,0.3573255091905594
58,"(0, 11)",L2H5,smart,141.31019447495697,0.34203198552131653
59,"(2, 5)",L2H5,smart,142.87268229697557,0.33978218138217925
60,"(5, 10)",L5H10,smart,145.8821649197738,0.3555895209312439
61,"(2, 6)",L2H6,smart,147.82304676163423,0.34964307248592374
62,"(7, 9)",L7H9,smart,149.4257801591506,0.3548351556062698
63,"(0, 7)",L0H7,smart,149.84806091980397,0.3490722268819809
64,"(6, 4)",L6H4,smart,149.1736723977821,0.3550331026315689
