model_key,layer,head,k,iou_score,program_idxs_used
llama3b,0,12,3,0.745347,55|23|30
llama3b,0,12,4,0.745347,55|23|30|27
llama3b,0,12,5,0.745347,55|23|30|27|64
llama3b,0,12,6,0.745347,55|23|30|27|64|24
llama3b,0,12,7,0.745347,55|23|30|27|64|24|28
llama3b,0,12,8,0.745347,55|23|30|27|64|24|28|58
llama3b,0,12,9,0.745347,55|23|30|27|64|24|28|58|32
llama3b,0,12,10,0.745347,55|23|30|27|64|24|28|58|32|36
llama3b,0,13,1,0.509236,33
llama3b,0,13,2,0.512555,33|68
llama3b,0,13,3,0.517607,33|68|55
llama3b,0,13,4,0.549312,33|68|55|23
llama3b,0,13,5,0.565159,33|68|55|23|64
llama3b,0,13,6,0.565159,33|68|55|23|64|27
llama3b,0,13,7,0.565159,33|68|55|23|64|27|30
llama3b,0,13,8,0.565159,33|68|55|23|64|27|30|36
llama3b,0,13,9,0.565159,33|68|55|23|64|27|30|36|28
llama3b,0,13,10,0.565159,33|68|55|23|64|27|30|36|28|24
llama3b,0,14,1,0.589397,33
llama3b,0,14,2,0.605578,33|68
llama3b,0,14,3,0.605654,33|68|55
llama3b,0,14,4,0.615164,33|68|55|23
llama3b,0,14,5,0.627443,33|68|55|23|64
llama3b,0,14,6,0.627443,33|68|55|23|64|27
llama3b,0,14,7,0.627443,33|68|55|23|64|27|30
llama3b,0,14,8,0.627443,33|68|55|23|64|27|30|36
llama3b,0,14,9,0.627443,33|68|55|23|64|27|30|36|28
llama3b,0,14,10,0.627443,33|68|55|23|64|27|30|36|28|24
llama3b,0,15,1,0.491974,62
llama3b,0,15,2,0.513687,62|70
llama3b,0,15,3,0.51412,62|70|9
llama3b,0,15,4,0.51412,62|70|9
llama3b,0,15,5,0.51412,62|70|9
llama3b,0,15,6,0.51412,62|70|9
llama3b,0,15,7,0.51412,62|70|9
llama3b,0,15,8,0.51412,62|70|9
llama3b,0,15,9,0.51412,62|70|9
llama3b,0,15,10,0.51412,62|70|9
llama3b,0,16,1,0.727426,68
llama3b,0,16,2,0.741916,68|55
llama3b,0,16,3,0.752335,68|55|23
llama3b,0,16,4,0.758847,68|55|23|27
llama3b,0,16,5,0.758847,68|55|23|27|30
llama3b,0,16,6,0.758847,68|55|23|27|30|64
llama3b,0,16,7,0.758847,68|55|23|27|30|64|28
llama3b,0,16,8,0.758847,68|55|23|27|30|64|28|36
llama3b,0,16,9,0.758847,68|55|23|27|30|64|28|36|32
llama3b,0,16,10,0.758847,68|55|23|27|30|64|28|36|32|24
llama3b,0,17,1,0.465508,70
llama3b,0,17,2,0.452241,70|62
llama3b,0,17,3,0.453402,70|62|9
llama3b,0,17,4,0.453402,70|62|9
llama3b,0,17,5,0.453402,70|62|9
llama3b,0,17,6,0.453402,70|62|9
llama3b,0,17,7,0.453402,70|62|9
llama3b,0,17,8,0.453402,70|62|9
llama3b,0,17,9,0.453402,70|62|9
llama3b,0,17,10,0.453402,70|62|9
llama3b,0,18,1,0.483909,33
llama3b,0,18,2,0.484129,33|68
llama3b,0,18,3,0.485563,33|68|55
llama3b,0,18,4,0.506458,33|68|55|23
llama3b,0,18,5,0.517792,33|68|55|23|64
llama3b,0,18,6,0.517792,33|68|55|23|64|27
llama3b,0,18,7,0.517792,33|68|55|23|64|27|30
llama3b,0,18,8,0.517792,33|68|55|23|64|27|30|36
llama3b,0,18,9,0.517792,33|68|55|23|64|27|30|36|28
llama3b,0,18,10,0.517792,33|68|55|23|64|27|30|36|28|24
llama3b,0,19,1,0.392604,33
llama3b,0,19,2,0.391466,33|68
llama3b,0,19,3,0.394774,33|68|55
llama3b,0,19,4,0.409909,33|68|55|23
llama3b,0,19,5,0.425122,33|68|55|23|64
llama3b,0,19,6,0.425122,33|68|55|23|64|27
llama3b,0,19,7,0.425122,33|68|55|23|64|27|30
llama3b,0,19,8,0.425122,33|68|55|23|64|27|30|36
llama3b,0,19,9,0.425122,33|68|55|23|64|27|30|36|28
llama3b,0,19,10,0.425122,33|68|55|23|64|27|30|36|28|24
llama3b,0,20,1,0.54755,33
llama3b,0,20,2,0.551218,33|68
llama3b,0,20,3,0.551663,33|68|55
llama3b,0,20,4,0.573136,33|68|55|23
llama3b,0,20,5,0.584779,33|68|55|23|64
llama3b,0,20,6,0.584779,33|68|55|23|64|27
llama3b,0,20,7,0.584779,33|68|55|23|64|27|30
llama3b,0,20,8,0.584779,33|68|55|23|64|27|30|36
llama3b,0,20,9,0.584779,33|68|55|23|64|27|30|36|28
llama3b,0,20,10,0.584779,33|68|55|23|64|27|30|36|28|24
llama3b,0,21,1,0.513621,52
llama3b,0,21,2,0.515912,52|55
llama3b,0,21,3,0.517509,52|55|23
llama3b,0,21,4,0.525425,52|55|23|27
